Reference, Value, Footprint, Datasheet
P1,BATT,BugBridgePCBLib:Connector_5.08mm_Pitch_2way,
P2,MOTOR,BugBridgePCBLib:Connector_5.08mm_Pitch_2way,
P4,AUX_A,BugBridgePCBLib:Connector_3.5mm_Pitch_8way,
P6,COMMS,BugBridgePCBLib:Connector_3.5mm_Pitch_6way,
P3,PASSTHRU,BugBridgePCBLib:Connector_5.08mm_Pitch_2way,
P5,AUX_B,BugBridgePCBLib:Connector_3.5mm_Pitch_5way,
C8,10nF,Capacitors_SMD:C_0805_HandSoldering,
C2,2.2uF,Capacitors_SMD:C_1206_HandSoldering,
C9,68pF,Capacitors_SMD:C_0805_HandSoldering,
R3,NF,Resistors_SMD:R_0805_HandSoldering,
R4,NF,Resistors_SMD:R_0805_HandSoldering,
R12,140k,Resistors_SMD:R_0805_HandSoldering,
R13,10k,Resistors_SMD:R_0805_HandSoldering,
L1,220uH 1.57R,BugBridgePCBLib:INDUCTOR_SDR0604,
C12,10uF,Capacitors_SMD:C_0805_HandSoldering,
U2,TPS54061,BugBridgePCBLib:VSON8,
R7,158k,Resistors_SMD:R_0805_HandSoldering,
C10,750pF,Capacitors_SMD:C_0805_HandSoldering,
R5,97.6k,Resistors_SMD:R_0805_HandSoldering,
F1,8A,BugBridgePCBLib:Fuseholder_5x20_Schurter,
U3,MIC5205-3.3YM5,TO_SOT_Packages_SMD:SOT-23-5,
C4,1uF,Capacitors_SMD:C_0805_HandSoldering,
C3,NF,Capacitors_SMD:C_0805_HandSoldering,
C5,1uF,Capacitors_SMD:C_0805_HandSoldering,
Q1,IPD35N10S3L-26,TO_SOT_Packages_SMD:TO-252-2Lead,
Q2,IPD35N10S3L-26,TO_SOT_Packages_SMD:TO-252-2Lead,
Q3,IPD35N10S3L-26,TO_SOT_Packages_SMD:TO-252-2Lead,
Q4,IPD35N10S3L-26,TO_SOT_Packages_SMD:TO-252-2Lead,
R6,0.01R 1W,Resistors_SMD:R_2512_HandSoldering,
R8,0R,Resistors_SMD:R_0805_HandSoldering,
R9,0R,Resistors_SMD:R_0805_HandSoldering,
R1,0R,Resistors_SMD:R_0805_HandSoldering,
R2,0R,Resistors_SMD:R_0805_HandSoldering,
D1,NF,Diodes_SMD:SMC_Handsoldering,
D3,NF,Diodes_SMD:SMC_Handsoldering,
D4,NF,Diodes_SMD:SMC_Handsoldering,
D2,NF,Diodes_SMD:SMC_Handsoldering,
U4,ST_CS70,BugBridgePCBLib:TSSOP8,
C15,100nF,Capacitors_SMD:C_0805_HandSoldering,
R10,NF,Resistors_SMD:R_0805_HandSoldering,
R11,0R,Resistors_SMD:R_0805_HandSoldering,
R14,NF,Resistors_SMD:R_0805_HandSoldering,
R15,0R,Resistors_SMD:R_0805_HandSoldering,
R16,1k,Resistors_SMD:R_0805_HandSoldering,
C14,NF,Capacitors_SMD:C_0805_HandSoldering,
D7,NF,TO_SOT_Packages_SMD:SOT-23,
U5,MIC4605-1YM,BugBridgePCBLib:SOIC-8_Pitch1.27mm,
U6,MIC4605-1YM,BugBridgePCBLib:SOIC-8_Pitch1.27mm,
C11,1uF 25V X7R,Capacitors_SMD:C_0805_HandSoldering,
C6,1uF 25V X7R,Capacitors_SMD:C_0805_HandSoldering,
C13,1uF 25V X7R,Capacitors_SMD:C_0805_HandSoldering,
C7,1uF 25V X7R,Capacitors_SMD:C_0805_HandSoldering,
D6,BAV99,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
C1,150uF,Capacitors_ThroughHole:C_Radial_D10_L20_P5,
D5,TVS,Diodes_SMD:SMB_Handsoldering,
Y1,12MHz 20pF,BugBridgePCBLib:Crystal_FOX_HC,
C20,39pF,Capacitors_SMD:C_0805_HandSoldering,
C24,39pF,Capacitors_SMD:C_0805_HandSoldering,
C21,100nF,Capacitors_SMD:C_0805_HandSoldering,
C23,10nF,Capacitors_SMD:C_0805_HandSoldering,
C17,100nF,Capacitors_SMD:C_0805_HandSoldering,
C18,10nF,Capacitors_SMD:C_0805_HandSoldering,
P7,ISP,BugBridgePCBLib:CON_02X05_1.27,
R18,47k,Resistors_SMD:R_0805_HandSoldering,
R19,47k,Resistors_SMD:R_0805_HandSoldering,
R20,NF,Resistors_SMD:R_0805_HandSoldering,
U7,MAX3485,BugBridgePCBLib:SOIC-8_Pitch1.27mm,
C16,100nF,Capacitors_SMD:C_0805_HandSoldering,
R21,NF,Resistors_SMD:R_0805_HandSoldering,
R22,NF,Resistors_SMD:R_0805_HandSoldering,
R23,NF,Resistors_SMD:R_0805_HandSoldering,
D8,TVS 12V,BugBridgePCBLib:DO-214AC_Handsoldering,
D9,TVS 12V,BugBridgePCBLib:DO-214AC_Handsoldering,
U1,LPC1114FDH28/102,BugBridgePCBLib:TSSOP-28,
R17,0R,Resistors_SMD:R_0805_HandSoldering,
TH1,NTCS0805E3103JMT,Resistors_SMD:R_0805_HandSoldering,
R29,10k,Resistors_SMD:R_0805_HandSoldering,
R27,120k,Resistors_SMD:R_0805_HandSoldering,
R28,10k,Resistors_SMD:R_0805_HandSoldering,
C29,10nF,Capacitors_SMD:C_0805_HandSoldering,
D19,3V,TO_SOT_Packages_SMD:SOT-23,
D12,GREEN,LEDs:LED_0805,
D10,RED,LEDs:LED_0805,
D11,BLUE,LEDs:LED_0805,
R24,1k8,Resistors_SMD:R_0805_HandSoldering,
R25,1k8,Resistors_SMD:R_0805_HandSoldering,
R26,1k8,Resistors_SMD:R_0805_HandSoldering,
Q5,MMUN2211LT1G,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
Q6,MMUN2211LT1G,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
D13,NF,BugBridgePCBLib:DO-214AC_Handsoldering,
D14,NF,BugBridgePCBLib:DO-214AC_Handsoldering,
D15,NF,BugBridgePCBLib:DO-214AC_Handsoldering,
D16,NF,BugBridgePCBLib:DO-214AC_Handsoldering,
D17,NF,BugBridgePCBLib:DO-214AC_Handsoldering,
D18,NF,BugBridgePCBLib:DO-214AC_Handsoldering,
C19,NF,Capacitors_SMD:C_0805_HandSoldering,
C22,NF,Capacitors_SMD:C_0805_HandSoldering,
C25,NF,Capacitors_SMD:C_0805_HandSoldering,
C26,NF,Capacitors_SMD:C_0805_HandSoldering,
C27,NF,Capacitors_SMD:C_0805_HandSoldering,
C28,NF,Capacitors_SMD:C_0805_HandSoldering,
